;scientific_name;GPE;GPE_count;article_count
577;Canis lupus;The United States;1;124
578;Canis lupus;Toronto;1;124
579;Canis lupus;TrapFree;1;124
580;Canis lupus;Traverse City;1;124
581;Canis lupus;Tucson;1;124
582;Canis lupus;Tumkur;1;124
583;Canis lupus;UK;1;124
584;Canis lupus;USA;1;124
585;Canis lupus;Upper Egypt;1;124
586;Canis lupus;Van Nuys;1;124
587;Canis lupus;Vietnam;1;124
588;Canis lupus;Virginia;1;124
589;Canis lupus;W.;1;124
590;Canis lupus;Wales;1;124
591;Canis lupus;Weigelt;1;124
592;Canis lupus;Wenatchee;1;124
593;Canis lupus;Western States;1;124
594;Canis lupus;Whitewater;1;124
595;Canis lupus;Wilderness;1;124
596;Canis lupus;Winchester;1;124
597;Canis lupus;Wolverton;1;124
598;Canis lupus;Woodbury;1;124
599;Canis lupus;Worcester;1;124
600;Canis lupus;Wyo.;1;124
601;Canis lupus;Yamhill County;1;124
602;Canis lupus;Yellowstone Park;1;124
603;Canis lupus;Yosemite;1;124
604;Canis lupus;Yukon Creek;1;124
605;Canis lupus;Zacatecas;1;124
606;Canis lupus;Zcph;1;124
607;Canis lupus;a.k.a;1;124
608;Canis lupus;chinkara;1;124
609;Canis lupus;floridana;1;124
610;Canis lupus;https://www.biologicaldiversity.org/campaigns/gray_wolves/pdfs/Open-letter-to-FWS-regarding-proposed-wolf-delisting-May-2019.pdf;1;124
611;Canis lupus;namo;1;124
612;Canis lupus;safaris;1;124
613;Canis lupus;the Kalahari Kingdom/Tiger Tales;1;124
614;Canis lupus;the Oregon Territory;1;124
615;Canis lupus;the State of the River Report;1;124
616;Canis lupus;the United States Fish and Wildlife Service;1;124
617;Canis lupus;tho city;1;124
618;Canis lupus;tho hill;1;124
619;Canis lupus;tho plains;1;124
620;Canis lupus;trailcam;1;124
621;Canis lupus;us;1;124
622;Canis lupus;us tho;1;124
623;Canis lupus;whero;1;124
624;Canis lupus;zoos;1;124
625;Ceratotherium simum;Sudan;83;72
626;Ceratotherium simum;Kenya;74;72
627;Ceratotherium simum;South Africa;36;72
628;Ceratotherium simum;Safari Park;15;72
629;Ceratotherium simum;the Czech Republic;15;72
630;Ceratotherium simum;Botswana;10;72
631;Ceratotherium simum;Italy;10;72
632;Ceratotherium simum;Texas;10;72
633;Ceratotherium simum;China;9;72
634;Ceratotherium simum;Germany;9;72
635;Ceratotherium simum;San Diego;9;72
636;Ceratotherium simum;Ceratotherium;8;72
637;Ceratotherium simum;U.S.;7;72
638;Ceratotherium simum;Uganda;7;72
639;Ceratotherium simum;Vietnam;7;72
640;Ceratotherium simum;Indonesia;6;72
641;Ceratotherium simum;Namibia;6;72
642;Ceratotherium simum;US;6;72
643;Ceratotherium simum;Masai;5;72
644;Ceratotherium simum;Sumatran;5;72
645;Ceratotherium simum;Australia;4;72
646;Ceratotherium simum;Central Africa;4;72
647;Ceratotherium simum;Chad;4;72
648;Ceratotherium simum;India;4;72
649;Ceratotherium simum;Ireland;4;72
650;Ceratotherium simum;Tanzania;4;72
651;Ceratotherium simum;Zimbabwe;4;72
652;Ceratotherium simum;ZooTampa;4;72
653;Ceratotherium simum;AP;3;72
654;Ceratotherium simum;Calif.;3;72
655;Ceratotherium simum;Chitwan;3;72
656;Ceratotherium simum;Minnesota;3;72
657;Ceratotherium simum;Mongabay;3;72
658;Ceratotherium simum;Nepal;3;72
659;Ceratotherium simum;Serengeti;3;72
660;Ceratotherium simum;South Africa's;3;72
661;Ceratotherium simum;UK;3;72
662;Ceratotherium simum;America;2;72
663;Ceratotherium simum;Colombia;2;72
664;Ceratotherium simum;County Limerick;2;72
665;Ceratotherium simum;Czech Republic;2;72
666;Ceratotherium simum;East Africa;2;72
667;Ceratotherium simum;Escondido;2;72
668;Ceratotherium simum;Israel;2;72
669;Ceratotherium simum;Japan;2;72
670;Ceratotherium simum;Javan;2;72
671;Ceratotherium simum;Las Vegas;2;72
672;Ceratotherium simum;Makatea;2;72
673;Ceratotherium simum;Missouri;2;72
674;Ceratotherium simum;NAIROBI;2;72
675;Ceratotherium simum;Nairobi;2;72
676;Ceratotherium simum;New York;2;72
677;Ceratotherium simum;New York City;2;72
678;Ceratotherium simum;Pentland;2;72
679;Ceratotherium simum;SAN;2;72
680;Ceratotherium simum;Seychelles;2;72
681;Ceratotherium simum;South Korea;2;72
682;Ceratotherium simum;Swaziland;2;72
683;Ceratotherium simum;Thailand;2;72
684;Ceratotherium simum;USA;2;72
685;Ceratotherium simum;Zambia;2;72
686;Ceratotherium simum;the Democratic Republic of Congo;2;72
687;Ceratotherium simum;the Democratic Republic of the Congo;2;72
