scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Russian Federation;RUS
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Taiwan, Province of China;TWN
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Viet Nam;VNM
Ailurus fulgens;30;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;China;CHN
Ailurus fulgens;23;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Nepal;NPL
Ailurus fulgens;18;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;India;IND
Ailurus fulgens;18;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Myanmar;MMR
Ailurus fulgens;15;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Bhutan;BTN
Ailurus fulgens;7;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;United States;USA
Ailurus fulgens;5;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;France;FRA
Ailurus fulgens;4;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;United Kingdom;GBR
Ailurus fulgens;3;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Lao People's Democratic Republic;LAO
Ailurus fulgens;2;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Australia;AUS
Ailurus fulgens;2;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Brazil;BRA
Ailurus fulgens;2;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Canada;CAN
Ailurus fulgens;2;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Germany;DEU
Ailurus fulgens;2;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Philippines;PHL
Ailurus fulgens;2;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Russian Federation;RUS
Ailurus fulgens;1;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Bangladesh;BGD
Ailurus fulgens;1;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Colombia;COL
Ailurus fulgens;1;52;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Congo;COG
