scientific_name;Countries;mentions_country;article_cnt
Anodorhynchus hyacinthinus;india;1;25
Anodorhynchus hyacinthinus;macao;1;25
Anodorhynchus hyacinthinus;madagascar;1;25
Anodorhynchus hyacinthinus;netherlands;1;25
Anodorhynchus hyacinthinus;new zealand;1;25
Anodorhynchus hyacinthinus;nicaragua;1;25
Anodorhynchus hyacinthinus;panama;1;25
Anodorhynchus hyacinthinus;portugal;1;25
Anodorhynchus hyacinthinus;russia;1;25
Anodorhynchus hyacinthinus;slovakia;1;25
Anodorhynchus hyacinthinus;spain;1;25
Anodorhynchus hyacinthinus;switzerland;1;25
Anodorhynchus hyacinthinus;uruguay;1;25
Anodorhynchus hyacinthinus;venezuela;1;25
Anodorhynchus leari;brazil;20;21
Anodorhynchus leari;colombia;6;21
Anodorhynchus leari;argentina;4;21
Anodorhynchus leari;bolivia;4;21
Anodorhynchus leari;china;4;21
Anodorhynchus leari;hong kong;4;21
Anodorhynchus leari;paraguay;4;21
Anodorhynchus leari;ecuador;3;21
Anodorhynchus leari;el salvador;3;21
Anodorhynchus leari;guyana;3;21
Anodorhynchus leari;peru;3;21
Anodorhynchus leari;switzerland;3;21
Anodorhynchus leari;bahamas;2;21
Anodorhynchus leari;canada;2;21
Anodorhynchus leari;chile;2;21
Anodorhynchus leari;costa rica;2;21
Anodorhynchus leari;cuba;2;21
Anodorhynchus leari;ethiopia;2;21
Anodorhynchus leari;france;2;21
Anodorhynchus leari;germany;2;21
Anodorhynchus leari;guatemala;2;21
Anodorhynchus leari;honduras;2;21
Anodorhynchus leari;indonesia;2;21
Anodorhynchus leari;malaysia;2;21
Anodorhynchus leari;mauritius;2;21
Anodorhynchus leari;mexico;2;21
Anodorhynchus leari;new zealand;2;21
Anodorhynchus leari;panama;2;21
Anodorhynchus leari;philippines;2;21
Anodorhynchus leari;portugal;2;21
Anodorhynchus leari;qatar;2;21
Anodorhynchus leari;south africa;2;21
Anodorhynchus leari;sweden;2;21
Anodorhynchus leari;venezuela;2;21
Anodorhynchus leari;australia;1;21
Anodorhynchus leari;bangladesh;1;21
Anodorhynchus leari;belize;1;21
Anodorhynchus leari;botswana;1;21
Anodorhynchus leari;cameroon;1;21
Anodorhynchus leari;chad;1;21
Anodorhynchus leari;fiji;1;21
Anodorhynchus leari;haiti;1;21
Anodorhynchus leari;india;1;21
Anodorhynchus leari;italy;1;21
Anodorhynchus leari;jamaica;1;21
Anodorhynchus leari;japan;1;21
Anodorhynchus leari;kenya;1;21
Anodorhynchus leari;madagascar;1;21
Anodorhynchus leari;morocco;1;21
Anodorhynchus leari;namibia;1;21
Anodorhynchus leari;netherlands;1;21
Anodorhynchus leari;nicaragua;1;21
Anodorhynchus leari;nigeria;1;21
Anodorhynchus leari;pakistan;1;21
Anodorhynchus leari;puerto rico;1;21
Anodorhynchus leari;russia;1;21
