scientific_name;GPE;GPE
Balaenoptera borealis;Island Beach State Park;4
Balaenoptera borealis;Kuala Lumpur;4
Balaenoptera borealis;Long Island;4
Balaenoptera borealis;New Delhi;4
Balaenoptera borealis;Poland;4
Balaenoptera borealis;UAE;4
Balaenoptera borealis;Bangkok;3
Balaenoptera borealis;Cape;3
Balaenoptera borealis;Faial;3
Balaenoptera borealis;Germany;3
Balaenoptera borealis;Kenya;3
Balaenoptera borealis;Liffey;3
Balaenoptera borealis;Massachusetts;3
Balaenoptera borealis;New York Bight;3
Balaenoptera borealis;New York Harbor;3
Balaenoptera borealis;North Carolina;3
Balaenoptera borealis;Pico;3
Balaenoptera borealis;Portugal;3
Balaenoptera borealis;UK;3
Balaenoptera borealis;Afghanistan;2
Balaenoptera borealis;Alaska;2
Balaenoptera borealis;Australia;2
Balaenoptera borealis;Azores;2
Balaenoptera borealis;Banten;2
Balaenoptera borealis;Barcelona;2
Balaenoptera borealis;Basra;2
Balaenoptera borealis;Beirut;2
Balaenoptera borealis;Bogota;2
Balaenoptera borealis;Boortmeerbeek;2
Balaenoptera borealis;Bridport;2
Balaenoptera borealis;Buenos Aires AFP;2
Balaenoptera borealis;Cali;2
Balaenoptera borealis;Chennai;2
Balaenoptera borealis;Chernobyl;2
Balaenoptera borealis;Chinatown;2
Balaenoptera borealis;Chiton;2
Balaenoptera borealis;Colombo AFP;2
Balaenoptera borealis;East Lake;2
Balaenoptera borealis;Gaza City AFP;2
Balaenoptera borealis;Gimpo;2
Balaenoptera borealis;Guinea;2
Balaenoptera borealis;Hallerbos;2
Balaenoptera borealis;Hong Kong's;2
Balaenoptera borealis;Hubei;2
Balaenoptera borealis;Jiangsu;2
Balaenoptera borealis;Jones Beach;2
Balaenoptera borealis;Jounieh;2
Balaenoptera borealis;Kent;2
Balaenoptera borealis;Kiev;2
Balaenoptera borealis;Korczowa;2
Balaenoptera borealis;Krakatau;2
Balaenoptera borealis;Kreuzberg;2
Balaenoptera borealis;Kuwait City;2
Balaenoptera borealis;Lebanon;2
Balaenoptera borealis;Long Beach;2
Balaenoptera borealis;Maine;2
Balaenoptera borealis;Malaysia;2
Balaenoptera borealis;Masonboro Island;2
Balaenoptera borealis;Medellin;2
Balaenoptera borealis;Mubarikiya;2
Balaenoptera borealis;Mumbai;2
Balaenoptera borealis;Munich;2
Balaenoptera borealis;Naples;2
Balaenoptera borealis;Navi;2
Balaenoptera borealis;Niger;2
Balaenoptera borealis;Norfolk Island;2
Balaenoptera borealis;North Korea's;2
Balaenoptera borealis;Orange County;2
Balaenoptera borealis;Plomeur;2
Balaenoptera borealis;Port Kembla;2
Balaenoptera borealis;Rhode Island;2
Balaenoptera borealis;Rio de Janeiro;2
Balaenoptera borealis;Russia;2
Balaenoptera borealis;Samut Sakhon province;2
Balaenoptera borealis;San Marco;2
